nodes,pagerank
0,0.8426197011934513
1,0.6378056072953261
2,0.9660036305095016
3,1.2314137930516413
4,1.165276148371683
5,1.175878844433748
6,0.9827373523621515
7,1.079308638719653
8,1.0830505190074962
9,1.6918835946740054
10,1.0451738204868224
11,1.3022702441467977
12,0.686071700732082
13,0.6175471591474858
14,0.5839632204002118
15,1.4161505181152105
16,0.7198976414354038
17,1.150212351778185
18,1.5339285540392014
19,0.4011860667749083
20,1.374565369105291
21,1.670240226458757
22,2.4721468114964775
23,1.7362579846665216
24,1.2740662796982731
25,2.2772671369778905
26,0.21573264737474596
27,0.5837777992110057
28,1.1362238579291637
29,0.527897018400867
30,0.7080244183945951
31,1.0336728860304027
32,2.2381124138389623
33,0.423904810596515
34,0.7744487898714343
35,0.3771282662379457
36,0.8189721250342635
37,1.5569134851411113
38,1.3250129955934766
39,0.5139811772485432
40,1.0837868555810721
41,1.4639323826590034
42,0.348045754496663
43,0.8515379116526368
44,0.8402554105219239
45,0.8291624013809993
46,1.2003704501614116
47,0.43379991989322697
48,1.4701910819654151
49,0.932559292900605
